corridor_id,length_ft,income,share_poc,poverty_rate,borough,treatment_cohort,first_protected_year,cyclist_injured,n_segments,is_protected,length_mi,income_q,poc_q
BROADWAY|1|2008|0,1914.9835693713262,109813.42471632894,0.7035766057689268,0.5233508530780241,Manhattan,always_treated,2008,12.0,7,True,0.3626862820779027,Q4,Q3
BROADWAY|1|2009|0,3211.267180516628,149835.4377447838,0.4647496665821228,0.09886134139757827,Manhattan,always_treated,2009,23.0,13,True,0.6081945417645128,Q5 highest,Q2
BROADWAY|1|2009|1,133.01257739456025,97242.0,0.6661184210526316,0.2012061403508772,Manhattan,always_treated,2009,0.0,1,True,0.025191776021697018,Q3,Q3
BROADWAY|1|2010|0,1327.1974147156889,190620.57267251355,0.40041096594285164,0.13144898042845082,Manhattan,always_treated,2010,10.0,6,True,0.2513631467264562,Q5 highest,Q2
BROADWAY|1|2017|0,281.9163960507695,186191.0,0.48808118952088747,0.11208530805687204,Manhattan,switcher,2017,3.0,1,True,0.053393256827797254,Q5 highest,Q2
BROADWAY|1|2020|0,3538.1773455762714,186313.92095376,0.3754816701875456,0.0664867443585396,Manhattan,switcher,2020,31.0,12,True,0.6701093457530817,Q5 highest,Q2
BROADWAY|1|2024|0,248.7529985258804,193958.0,0.3737212276214834,0.09784993418165862,Manhattan,switcher,2024,0.0,1,True,0.047112310326871285,Q5 highest,Q2
BROADWAY|2|-1|0,1923.2378638876476,90247.97675897068,0.5834672240929928,0.14840163301293344,Bronx,never_treated,,3.0,13,False,0.36424959543326657,Q3,Q3
BROADWAY|2|-1|1,826.8317591911695,88314.55834911688,0.5960164318483888,0.146286177980691,Bronx,never_treated,,0.0,2,False,0.15659692408923664,Q3,Q3
BROADWAY|2|2018|0,6448.867747973722,96997.18353208806,0.5839765473143297,0.13733419712064646,Bronx,switcher,2018,16.0,22,True,1.2213764674192655,Q3,Q3
BROADWAY|3|-1|0,103.51389177917488,58247.00000000001,0.706759758806728,0.28589580686149935,Brooklyn,never_treated,,4.0,1,False,0.01960490374605585,Q2,Q3
BROADWAY|3|-1|1,123.5845016446614,47749.0,0.43986285497367544,0.3525434119556454,Brooklyn,never_treated,,13.0,1,False,0.023406155614519204,Q1 lowest,Q2
BROADWAY|3|-1|2,1302.8862081811578,163268.99999999997,0.33172976364777235,0.22560975609756098,Brooklyn,never_treated,,9.0,4,False,0.2467587515494617,Q5 highest,Q1 least POC
BROADWAY|4|-1|0,1410.9756300558636,68317.9509610138,0.8870257251730694,0.05823218551607661,Queens,never_treated,,19.0,9,False,0.26723023296512566,Q2,Q4
BROADWAY|4|-1|1,7831.252924150466,61079.02824561143,0.9583953740719712,0.11954282291960103,Queens,never_treated,,84.0,31,False,1.4831918416951642,Q2,Q5 most POC
BROADWAY|4|2011|0,434.469411181618,63453.0,0.6985206585174646,0.13638043796037003,Queens,always_treated,2011,3.0,1,True,0.08228587332985189,Q2,Q3
BROADWAY|4|2022|0,1554.5955074681096,82251.22058894299,0.8267352093871613,0.11413076514522208,Queens,switcher,2022,33.0,9,True,0.2944309673235056,Q3,Q4
BRONX RIVER AVENUE|2|-1|0,812.7767347706082,64295.18488765299,0.9940748498755262,0.025164445321976425,Bronx,never_treated,,7.0,5,False,0.1539349876459485,Q2,Q5 most POC
BRONX RIVER AV|2|-1|0,2478.6623856417045,43817.593813172854,0.9844685442716826,0.31385013847215304,Bronx,never_treated,,10.0,10,False,0.4694436336442622,Q1 lowest,Q5 most POC
BRONX RIVER GREENWAY CONNECTOR|2|-1|0,29.26994814837307,73021.0,0.18170019467877996,0.0071661237785016286,Bronx,never_treated,,0.0,1,False,0.005543550785676718,Q2,Q1 least POC
BRONX RIVER PKWY EN|2|-1|0,144.93933589963592,73021.0,0.18170019467877993,0.0071661237785016286,Bronx,never_treated,,0.0,3,False,0.02745063179917347,Q2,Q1 least POC
BRONX RIVER PKWY EX|2|-1|0,65.52772346079286,73021.0,0.18170019467877996,0.0071661237785016286,Bronx,never_treated,,0.0,1,False,0.012410553685756222,Q2,Q1 least POC
BRONXDALE AV|2|-1|0,126.96819388697877,69216.07105347139,0.7991071149428554,0.14510677941734743,Bronx,never_treated,,0.0,3,False,0.024047006417988404,Q2,Q4
BRONXDALE AV|2|2022|0,7185.39644106063,64968.06977181291,0.7635205690956861,0.14900356561704714,Bronx,switcher,2022,15.0,20,True,1.3608705380796648,Q2,Q4
BRONXWOOD AV|2|-1|0,10628.889867421607,64989.35699486796,0.9740670289977867,0.17967332772983402,Bronx,never_treated,,24.0,44,False,2.0130473233753046,Q2,Q5 most POC
BROOKLYN AVENUE|3|-1|0,3192.4405728989345,78325.05423887509,0.7745521176420425,0.18617228105208516,Brooklyn,never_treated,,18.0,13,False,0.6046288963823739,Q3,Q4
BROOKLYN BRIDGE|1|2021|0,142.55026857782357,119292.99999999999,0.4754565470793939,0.07519110493398193,Manhattan,switcher,2021,0.0,1,True,0.0269981569276181,Q4,Q2
BROOKLYN BR|1|1966|0,4266.624637566501,102118.20219748313,0.50817003424899,0.18832616735177388,Manhattan,always_treated,1966,1.0,34,True,0.8080728480239586,Q4,Q2
BROOKLYN BR|1|1966|1,4177.813069994476,119293.00000000003,0.475456547079394,0.07519110493398194,Manhattan,always_treated,1966,0.0,36,True,0.7912524753777417,Q4,Q2
BROOKLYN BR|3|1966|0,2973.9217746964114,208652.3903198752,0.3222863163147661,0.08481386290607182,Brooklyn,always_treated,1966,0.0,15,True,0.5632427603591689,Q5 highest,Q1 least POC
BROOKLYN BR|3|2021|0,2960.785096189614,210056.38385341043,0.32087842870698685,0.08436588723624909,Brooklyn,switcher,2021,0.0,15,True,0.5607547530662147,Q5 highest,Q1 least POC
BROOME ST|1|-1|0,964.2602404071781,191337.89956622306,0.2662364445844844,0.05286715708386166,Manhattan,never_treated,,3.0,5,False,0.18262504553166253,Q5 highest,Q1 least POC
BRUCKNER BLVD|2|2013|0,330.3554110088191,33119.04385950116,0.9931829510296944,0.34886708332455246,Bronx,switcher,2013,1.0,3,True,0.06256731269106422,Q1 lowest,Q5 most POC
BRUCKNER BLVD|2|2017|0,283.32210863808683,67375.0,0.8927243759957517,0.3230429988974642,Bronx,switcher,2017,0.0,4,True,0.05365949027236493,Q2,Q4
BRUCKNER BOULEVARD|2|-1|0,145.818041530005,28592.0,0.9926921263554926,0.42381870781099323,Bronx,never_treated,,0.0,1,False,0.027617053320076704,Q1 lowest,Q5 most POC
BRUCKNER BOULEVARD|2|2017|0,130.8383599992093,29251.663298276195,0.9912562661180815,0.4091952859667621,Bronx,switcher,2017,3.0,1,True,0.02477999242409267,Q1 lowest,Q5 most POC
BRUCKNER BOULEVARD|2|2017|1,325.98442270327746,33870.925172207375,0.9812017209155527,0.3067954477947937,Bronx,switcher,2017,4.0,1,True,0.061739473996832855,Q1 lowest,Q5 most POC
BRUSH AVENUE|2|-1|0,49.445183159592375,33831.0,0.9794149512459371,0.36805555555555564,Bronx,never_treated,,1.0,2,False,0.009364618022650071,Q1 lowest,Q5 most POC
BRUSH AV|2|-1|0,4614.260672261844,33831.0,0.9794149512459371,0.3680555555555556,Bronx,never_treated,,6.0,16,False,0.8739130061101977,Q1 lowest,Q5 most POC
BRYANT AV|2|-1|0,5534.676678106545,40904.652264648415,0.986190510387493,0.29964813326213824,Bronx,never_treated,,3.0,32,False,1.048234219338361,Q1 lowest,Q5 most POC
BRYANT AV|2|-1|1,1503.3184353527283,28591.999999999996,0.9926921263554926,0.42381870781099323,Bronx,never_treated,,0.0,2,False,0.2847194006349864,Q1 lowest,Q5 most POC
BUCHANAN PL|2|-1|0,555.2261302201559,45955.47652595869,0.9810136878080823,0.2825747652929803,Bronx,never_treated,,1.0,2,False,0.10515646405684771,Q1 lowest,Q5 most POC
BUEL AV|5|-1|0,3287.0811124772144,93016.47608715558,0.5107367530187997,0.12149128628555968,Staten Island,never_treated,,2.0,7,False,0.6225532409994724,Q3,Q2
BURKE AVENUE|2|-1|0,1570.706429433945,74193.96494904855,0.9804538639828196,0.09940957859389142,Bronx,never_treated,,0.0,5,False,0.2974822783018835,Q3,Q5 most POC
BURKE AV|2|-1|0,6984.6074979051455,60975.07449788862,0.9550004931502869,0.2098346020153475,Bronx,never_treated,,14.0,52,False,1.3228423291487017,Q2,Q5 most POC
