spec,coef,se,n,within_corridor,matched
1_pooled_nb,0.021020051456566047,0.030260640466264296,24574,False,False
3_poisson_fe,0.1199257973270554,0.08625109362625287,16247,True,False
4_poisson_fe_matched,0.11395679836892361,0.08077693693369241,15081,True,True
