geoid,ALAND,GEO_ID,median_household_income,pop_total,pop_white_nh,pop_black_nh,pop_asian_nh,pop_hispanic,poverty_universe,pop_below_poverty,county_fips,borough,share_white_nh,share_black_nh,share_hispanic,share_asian_nh,share_poc,poverty_rate,protected_ft,income_q,poc_q
36081004700,179250,1400000US36081004700,56758.0,4104.0,964.0,1203.0,523.0,1278.0,4091.0,824.0,081,Queens,0.23489278752436646,0.29312865497076024,0.31140350877192985,0.1274366471734893,0.7651072124756335,0.20141774627230505,1325.9913108579317,Q2,Q3
36081005300,196497,1400000US36081005300,112258.0,5470.0,2786.0,136.0,1323.0,957.0,5470.0,456.0,081,Queens,0.5093235831809872,0.02486288848263254,0.17495429616087751,0.24186471663619744,0.49067641681901275,0.08336380255941499,732.4564239250851,Q5 highest,Q2
36081005400,416102,1400000US36081005400,79865.0,6127.0,1029.0,488.0,1567.0,2509.0,6071.0,477.0,081,Queens,0.16794516076383223,0.07964746205320712,0.40949893912191937,0.255753223437245,0.8320548392361677,0.07857025201778949,0.0,Q3,Q3
36081005800,590419,1400000US36081005800,91075.0,6403.0,1165.0,600.0,1176.0,2884.0,6403.0,256.0,081,Queens,0.18194596282992348,0.09370607527721381,0.450413868499141,0.18366390754333906,0.8180540371700765,0.03998125878494456,0.0,Q4,Q3
36081006100,195055,1400000US36081006100,111923.0,5263.0,2981.0,91.0,886.0,1105.0,5217.0,286.0,081,Queens,0.5664069922097663,0.017290518715561465,0.20995629868896068,0.16834505035151054,0.4335930077902337,0.05482077822503354,259.78226441553267,Q4,Q2
36081030904,414419,1400000US36081030904,55406.0,2762.0,563.0,10.0,1065.0,972.0,2762.0,346.0,081,Queens,0.20383779869659666,0.003620564808110065,0.35191889934829834,0.38559015206372194,0.7961622013034033,0.12527154236060825,0.0,Q2,Q3
36081043702,175301,1400000US36081043702,61649.0,8025.0,1080.0,255.0,1474.0,5161.0,7811.0,817.0,081,Queens,0.13457943925233645,0.03177570093457944,0.6431152647975078,0.1836760124610592,0.8654205607476635,0.10459608244782999,0.0,Q2,Q3
36081044301,133649,1400000US36081044301,26172.0,3765.0,97.0,235.0,617.0,2770.0,3723.0,916.0,081,Queens,0.025763612217795485,0.06241699867197875,0.7357237715803453,0.16387782204515272,0.9742363877822046,0.24603814128391083,0.0,Q1 lowest,Q5 most POC
36081036500,166196,1400000US36081036500,67625.0,2696.0,23.0,383.0,294.0,1970.0,2696.0,471.0,081,Queens,0.008531157270029673,0.14206231454005935,0.7307121661721068,0.10905044510385757,0.9914688427299704,0.17470326409495548,0.0,Q2,Q5 most POC
36081036600,369653,1400000US36081036600,76181.0,2939.0,5.0,2347.0,55.0,400.0,2929.0,204.0,081,Queens,0.001701258931609391,0.7985709424974481,0.13610071452875128,0.0187138482477033,0.9982987410683906,0.0696483441447593,0.0,Q3,Q5 most POC
36081035800,524484,1400000US36081035800,89570.0,4199.0,25.0,3686.0,45.0,275.0,4194.0,252.0,081,Queens,0.005953798523457966,0.8778280542986425,0.06549178375803763,0.010716837342224339,0.994046201476542,0.060085836909871244,0.0,Q4,Q5 most POC
36081036700,195576,1400000US36081036700,54750.0,2213.0,92.0,739.0,168.0,1180.0,2194.0,385.0,081,Queens,0.04157252598282874,0.33393583370989605,0.5332128332580208,0.07591504744690465,0.9584274740171712,0.17547857793983593,0.0,Q2,Q4
36081036800,232844,1400000US36081036800,85455.0,2562.0,17.0,2183.0,0.0,118.0,2562.0,181.0,081,Queens,0.00663544106167057,0.8520686963309914,0.04605776736924278,0.0,0.9933645589383294,0.070647931303669,0.0,Q3,Q5 most POC
36081065401,430990,1400000US36081065401,101500.0,3616.0,50.0,2443.0,131.0,618.0,3558.0,360.0,081,Queens,0.013827433628318585,0.675608407079646,0.1709070796460177,0.03622787610619469,0.9861725663716814,0.10118043844856661,0.0,Q4,Q5 most POC
36081037100,187474,1400000US36081037100,69424.0,1403.0,69.0,407.0,187.0,730.0,1403.0,138.0,081,Queens,0.04918032786885246,0.2900926585887384,0.5203136136849608,0.13328581610833928,0.9508196721311475,0.09836065573770492,0.0,Q2,Q4
36081037300,237268,1400000US36081037300,78413.0,2543.0,47.0,181.0,337.0,1938.0,2421.0,319.0,081,Queens,0.0184821077467558,0.0711757766417617,0.7620920173023987,0.13252064490758947,0.9815178922532442,0.13176373399421726,0.0,Q3,Q5 most POC
36081037600,769753,1400000US36081037600,112708.0,6274.0,45.0,5583.0,91.0,180.0,6274.0,469.0,081,Queens,0.0071724577621931785,0.889862926362767,0.028689831048772714,0.014504303474657317,0.9928275422378068,0.07475294867708002,0.0,Q5 highest,Q5 most POC
36081038100,285316,1400000US36081038100,75521.0,7121.0,98.0,689.0,514.0,5700.0,6992.0,1025.0,081,Queens,0.013762112062912512,0.09675607358517062,0.8004493750877686,0.07218087347282685,0.9862378879370874,0.14659610983981694,0.0,Q3,Q5 most POC
36081007700,126677,1400000US36081007700,118125.0,1903.0,780.0,22.0,382.0,651.0,1903.0,300.0,081,Queens,0.4098791382028376,0.011560693641618497,0.3420914345769837,0.20073568050446663,0.5901208617971624,0.1576458223857068,1556.7681956678439,Q5 highest,Q2
36081008600,332712,1400000US36081008600,66875.0,2760.0,774.0,0.0,593.0,981.0,2753.0,322.0,081,Queens,0.28043478260869564,0.0,0.35543478260869565,0.21485507246376812,0.7195652173913043,0.11696331274972757,0.0,Q2,Q3
36081008700,253377,1400000US36081008700,16639.0,3157.0,384.0,1148.0,211.0,1322.0,3129.0,1379.0,081,Queens,0.12163446309787773,0.36363636363636365,0.4187519797275895,0.06683560342096928,0.8783655369021223,0.4407158836689038,0.0,Q1 lowest,Q4
36081008800,448520,1400000US36081008800,113891.0,3622.0,1014.0,242.0,417.0,1946.0,3579.0,339.0,081,Queens,0.27995582551076753,0.06681391496410823,0.537272225289895,0.11512976256212037,0.7200441744892325,0.09471919530595138,0.0,Q5 highest,Q3
36081007900,160507,1400000US36081007900,109598.0,2600.0,1031.0,36.0,629.0,724.0,2589.0,482.0,081,Queens,0.39653846153846156,0.013846153846153847,0.2784615384615385,0.24192307692307694,0.6034615384615385,0.1861722672846659,423.73696499515626,Q4,Q2
36081008100,112322,1400000US36081008100,116875.0,1113.0,511.0,72.0,190.0,280.0,1109.0,35.0,081,Queens,0.4591194968553459,0.0646900269541779,0.25157232704402516,0.1707097933513028,0.5408805031446541,0.031559963931469794,1712.7312836437557,Q5 highest,Q2
36081008300,191339,1400000US36081008300,89500.0,2266.0,709.0,139.0,270.0,951.0,2266.0,305.0,081,Queens,0.31288614298323036,0.061341571050308914,0.41968225948808474,0.11915269196822595,0.6871138570167696,0.13459841129744043,0.0,Q4,Q3
36081009100,186329,1400000US36081009100,94881.0,1956.0,911.0,74.0,185.0,709.0,1956.0,188.0,081,Queens,0.4657464212678937,0.03783231083844581,0.36247443762781184,0.09458077709611452,0.5342535787321063,0.09611451942740286,0.0,Q4,Q2
36081009400,172430,1400000US36081009400,89792.0,3104.0,195.0,398.0,1174.0,727.0,3104.0,530.0,081,Queens,0.06282216494845361,0.12822164948453607,0.2342139175257732,0.37822164948453607,0.9371778350515464,0.17074742268041238,0.0,Q4,Q4
36081009500,164511,1400000US36081009500,104028.0,2087.0,1408.0,31.0,320.0,285.0,2087.0,144.0,081,Queens,0.6746526114039291,0.014853857211308098,0.13655965500718736,0.15333013895543843,0.32534738859607093,0.0689985625299473,2108.6997371651805,Q4,Q1 least POC
