corridor_id,street,boro_code,n_segments,treatment_cohort,first_protected_year,injuries,deaths,years,borough,inj_per_seg_year,is_protected,income,share_poc,poverty_rate,length_mi
N 6 ST|3|-1|0,N 6 ST,3,9,never_treated,,17.0,0.0,12,Brooklyn,0.1574074074074074,False,179292.96100402004,0.3841131076293185,0.1012184712825938,0.6735807997549725
2 AV|3|-1|1,2 AV,3,1,never_treated,,1.0,0.0,12,Brooklyn,0.08333333333333333,False,78942.0,0.6366976502204419,0.4046463530406258,0.0487745653635691
CYPRESS HILLS ST|4|2019|1,CYPRESS HILLS ST,4,1,switcher,2019,0.0,0.0,12,Queens,0.0,True,,,,
31 AVENUE|4|-1|0,31 AVENUE,4,4,never_treated,,23.0,0.0,12,Queens,0.4791666666666667,False,113353.0,0.4550668120183662,0.0667136104010321,0.3939988153205159
1 AV|1|-1|6,1 AV,1,3,never_treated,,0.0,0.0,12,Manhattan,0.0,False,26320.999999999996,0.8588235294117647,0.3875179340028694,0.0306367342097096
JACKSON AV|4|-1|0,JACKSON AV,4,1,never_treated,,1.0,0.0,12,Queens,0.08333333333333333,False,145922.0,0.5540414989160731,0.0353646984527944,0.0073221214677353
10 AV|1|2024|0,10 AV,1,2,switcher,2024,4.0,0.0,12,Manhattan,0.16666666666666666,True,146894.23788214545,0.3000169568296492,0.1056288917319055,0.138380511409712
CRESCENT ST|4|-1|0,CRESCENT ST,4,14,never_treated,,9.0,0.0,12,Queens,0.05357142857142857,False,93239.43966783326,0.3839777175516927,0.102359786876046,0.8412179615754286
FRANKFORT ST|1|2019|0,FRANKFORT ST,1,4,switcher,2019,0.0,0.0,12,Manhattan,0.0,True,119293.0,0.4754565470793939,0.0751911049339819,0.0941765747683232
DELANCEY ST|1|-1|0,DELANCEY ST,1,25,never_treated,,4.0,0.0,12,Manhattan,0.013333333333333334,False,87420.36719480595,0.4779633583584722,0.1521302776871987,0.5180502685786484
78 AVE|4|-1|0,78 AVE,4,5,never_treated,,0.0,0.0,12,Queens,0.0,False,104840.0,0.4700423314881146,0.0555463985495302,0.4711790103705296
W 159 ST|1|-1|0,W 159 ST,1,7,never_treated,,4.0,0.0,12,Manhattan,0.047619047619047616,False,56272.327799037506,0.8542621272072817,0.2377955095618903,0.2942057101544971
E 10 ST|1|-1|0,E 10 ST,1,22,never_treated,,68.0,0.0,12,Manhattan,0.25757575757575757,False,115332.01941576264,0.4809673141182315,0.1957602936601572,1.3591679017769085
TOMPKINS AV|5|-1|0,TOMPKINS AV,5,1,never_treated,,0.0,0.0,12,Staten Island,0.0,False,76557.0,0.3780400572246065,0.0414878397711015,0.022849593404221
HOYT AV S|4|-1|0,HOYT AV S,4,8,never_treated,,5.0,0.0,12,Queens,0.052083333333333336,False,109765.6668250392,0.4115109164031889,0.0837087417714527,0.6357526451438114
BROADWAY|1|-1|12,BROADWAY,1,1,never_treated,,3.0,0.0,12,Manhattan,0.25,False,44498.0,0.9490616621983914,0.2997921718046415,0.1012844631023102
3 AVENUE|1|2023|1,3 AVENUE,1,6,switcher,2023,33.0,0.0,12,Manhattan,0.4583333333333333,True,163700.21653292715,0.3406271710957008,0.0398470431568375,0.276435576403238
INTERVALE AVENUE|2|-1|0,INTERVALE AVENUE,2,1,never_treated,,0.0,0.0,12,Bronx,0.0,False,17410.0,0.9467026130236416,0.4381999170468685,0.0126368690849542
PARK LA|4|-1|0,PARK LA,4,4,never_treated,,0.0,0.0,12,Queens,0.0,False,101749.6915545812,0.4806423478278807,0.0566294311996557,0.1318467525521977
